,State,Year,NO2 Mean,SO2 Mean,O3 Mean,CO Mean,age,sex,val
5131,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,50-69 years,Female,68.13251205312841
5132,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,50-69 years,Male,83.04266079897856
5133,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,70+ years,Both,723.2968834228581
5134,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,70+ years,Female,652.5732625894102
5135,Texas,2003,15.608571103953148,2.041328666910688,0.027007489019033673,0.46156665739385067,70+ years,Male,827.4516595960856
5136,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,0 to 14,Both,2.1111690780109194
5137,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,0 to 14,Female,1.851214898590503
5138,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,0 to 14,Male,2.359590706094755
5139,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,15-49 years,Both,4.513289910196852
5140,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,15-49 years,Female,4.135596499925545
5141,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,15-49 years,Male,4.879525178650427
5142,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,50-69 years,Both,73.30253541545042
5143,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,50-69 years,Female,65.19092623381805
5144,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,50-69 years,Male,81.93376552493854
5145,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,70+ years,Both,706.7555327086557
5146,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,70+ years,Female,632.9075614972137
5147,Texas,2004,13.784524631919483,2.018218242990654,0.024743000718907258,0.3454496959022286,70+ years,Male,814.5345292084517
5148,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,0 to 14,Both,2.103820730270474
5149,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,0 to 14,Female,1.8476935991148324
5150,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,0 to 14,Male,2.3486238826348704
5151,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,15-49 years,Both,4.532135605565039
5152,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,15-49 years,Female,4.239949252890161
5153,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,15-49 years,Male,4.815838536380079
5154,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,50-69 years,Both,72.52362180201985
5155,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,50-69 years,Female,65.71066814055412
5156,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,50-69 years,Male,79.76100895540444
5157,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,70+ years,Both,713.9688796310417
5158,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,70+ years,Female,648.053036093933
5159,Texas,2005,13.88057838142857,2.278328245,0.02711974285714286,0.31623939642857146,70+ years,Male,809.2128992584599
5160,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,0 to 14,Both,2.055160450941079
5161,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,0 to 14,Female,1.8267981523091905
5162,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,0 to 14,Male,2.273436033431829
5163,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,15-49 years,Both,4.48681510222576
5164,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,15-49 years,Female,4.294302479198912
5165,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,15-49 years,Male,4.6740387349018455
5166,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,50-69 years,Both,71.67147943608188
5167,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,50-69 years,Female,65.99042405829421
5168,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,50-69 years,Male,77.6968251065713
5169,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,70+ years,Both,713.9829545607563
5170,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,70+ years,Female,653.8572083571664
5171,Texas,2006,13.522155371625862,1.8537196490897678,0.02567687382297552,0.2637560621468927,70+ years,Male,800.0503130357464
5172,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,0 to 14,Both,2.096111485716036
5173,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,0 to 14,Female,1.8545618912342812
5174,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,0 to 14,Male,2.32704303109497
5175,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,15-49 years,Both,4.513656771218024
5176,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,15-49 years,Female,4.246274439628711
5177,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,15-49 years,Male,4.77411700494153
5178,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,50-69 years,Both,72.12357516324477
5179,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,50-69 years,Female,65.40850979533941
5180,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,50-69 years,Male,79.24108461943865
5181,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,70+ years,Both,716.9466826028715
5182,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,70+ years,Female,653.8355173773772
5183,Texas,2007,13.107004495880535,1.2555764464469619,0.024283041194644694,0.23037959320288362,70+ years,Male,806.4195239536949
5184,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,0 to 14,Both,2.010379223484603
5185,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,0 to 14,Female,1.7872580683238222
5186,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,0 to 14,Male,2.2237314073188252
